,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
266,0.009166288375854491,0.000719643476436683,0.0028176307678222656,0.0002776992924836607,0.1,4,1.0,scale,rbf,"{'C': 0.1, 'degree': 4, 'epsilon': 1.0, 'gamma': 'scale', 'kernel': 'rbf'}",-1.388864806992066,-1.2846471965923831,-1.3067614129898981,-1.4495388237696167,-1.3683937007946563,-1.359641188227724,0.059046728370918976,310
267,0.013107728958129884,0.0003159301279671792,0.003093051910400391,0.0001034594231576448,0.1,4,1.0,scale,sigmoid,"{'C': 0.1, 'degree': 4, 'epsilon': 1.0, 'gamma': 'scale', 'kernel': 'sigmoid'}",-1.4233936170111432,-1.3065826229441517,-1.3485789128630443,-1.475294876872107,-1.381295056430822,-1.3870290172242536,0.05847419478962205,747
268,0.00784893035888672,0.00016553334469927606,0.0018282890319824218,6.022258870179315e-05,0.1,4,1.0,auto,linear,"{'C': 0.1, 'degree': 4, 'epsilon': 1.0, 'gamma': 'auto', 'kernel': 'linear'}",-1.403229248871168,-1.2931413495965962,-1.3196637037620182,-1.4546715105243009,-1.367659773545169,-1.3676731172598504,0.057780355276213335,631
269,0.008589506149291992,0.00016778679342906893,0.001963901519775391,2.368129067555663e-05,0.1,4,1.0,auto,poly,"{'C': 0.1, 'degree': 4, 'epsilon': 1.0, 'gamma': 'auto', 'kernel': 'poly'}",-1.4514568861974433,-1.310427912721203,-1.3674624453224078,-1.5056432383848686,-1.3961557951469243,-1.4062292555545695,0.0673957209688987,1031
270,0.009589767456054688,0.0003006344497366741,0.002941465377807617,5.654504634805117e-05,0.1,4,1.0,auto,rbf,"{'C': 0.1, 'degree': 4, 'epsilon': 1.0, 'gamma': 'auto', 'kernel': 'rbf'}",-1.4208313556962426,-1.29861705220157,-1.3397488752393725,-1.4774612773297007,-1.3839368105685095,-1.384119074207079,0.06219308971167568,722
271,0.011470270156860352,0.0002805567529675232,0.002667093276977539,6.851149428234966e-05,0.1,4,1.0,auto,sigmoid,"{'C': 0.1, 'degree': 4, 'epsilon': 1.0, 'gamma': 'auto', 'kernel': 'sigmoid'}",-1.428659265105643,-1.3007722449022625,-1.3461466784592557,-1.4829235769525329,-1.3877435492411303,-1.3892490629321648,0.0632713332556338,772
272,0.007837200164794922,0.00018531664990754546,0.0018004894256591797,4.8770535303179396e-05,0.1,4,1.0,0.001,linear,"{'C': 0.1, 'degree': 4, 'epsilon': 1.0, 'gamma': 0.001, 'kernel': 'linear'}",-1.403229248871168,-1.2931413495965962,-1.3196637037620182,-1.4546715105243009,-1.367659773545169,-1.3676731172598504,0.057780355276213335,631
273,0.008564949035644531,0.00011573821129380635,0.001974010467529297,4.855260752331767e-05,0.1,4,1.0,0.001,poly,"{'C': 0.1, 'degree': 4, 'epsilon': 1.0, 'gamma': 0.001, 'kernel': 'poly'}",-1.452065652597072,-1.3107991857758605,-1.3682357610504647,-1.506243416003345,-1.3964761961095409,-1.4067640423072567,0.0674505798505811,1054
274,0.009385013580322265,0.00015251303863416218,0.002788257598876953,1.6361421791712812e-05,0.1,4,1.0,0.001,rbf,"{'C': 0.1, 'degree': 4, 'epsilon': 1.0, 'gamma': 0.001, 'kernel': 'rbf'}",-1.4512353544321934,-1.3102845065820947,-1.3673209878231085,-1.505536570783166,-1.3960504314241238,-1.4060855702089374,0.06739472558091524,1028
275,0.010278081893920899,0.0001468643429914709,0.00239415168762207,7.800134823618299e-05,0.1,4,1.0,0.001,sigmoid,"{'C': 0.1, 'degree': 4, 'epsilon': 1.0, 'gamma': 0.001, 'kernel': 'sigmoid'}",-1.4516478852351553,-1.3105502305462517,-1.3677733117413753,-1.5058878434680767,-1.396257251590405,-1.4064233045162529,0.06741998827669127,1032
276,0.007944869995117187,0.00012712065467501897,0.0018921375274658203,6.623942668337802e-05,0.1,4,1.0,0.01,linear,"{'C': 0.1, 'degree': 4, 'epsilon': 1.0, 'gamma': 0.01, 'kernel': 'linear'}",-1.403229248871168,-1.2931413495965962,-1.3196637037620182,-1.4546715105243009,-1.367659773545169,-1.3676731172598504,0.057780355276213335,631
