,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
473,0.022550344467163086,0.0001845462682847782,0.0026974201202392576,4.837098745488362e-05,0.6,0.5,6,100,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.6}",-0.7572594524551268,-0.7882485591445146,-0.6950022840286864,-0.8767949043787341,-0.7465690265063921,-0.7727748453026908,0.06005939085831564,367
474,0.022287940979003905,0.0001757913457641918,0.0027749061584472655,5.878251528550195e-05,0.6,0.5,6,100,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-0.7643434233725104,-0.8021306967081921,-0.6438894781134645,-0.886615631097483,-0.6870526480598962,-0.7568063754703094,0.08553052347504747,267
475,0.020194244384765626,0.00024160522419289565,0.0027094364166259767,4.658271961295844e-05,0.6,0.5,6,100,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-0.7423610471092208,-0.7958998935547561,-0.6387839517779099,-0.8853672100528162,-0.6984267377940908,-0.7521677680577588,0.0842552669594314,234
476,0.039377784729003905,0.0002630716090138698,0.0030918121337890625,3.688975718130018e-05,0.6,0.5,6,200,0.4,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.4}",-0.7972810519448649,-0.8600465318065041,-0.7097255256752736,-0.8634176488629698,-0.8345503848435193,-0.8130042286266264,0.056802177501212234,533
477,0.040016698837280276,0.00047647079221640727,0.003087615966796875,5.762229332081899e-05,0.6,0.5,6,200,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.6}",-0.7685467885329361,-0.8051897786606241,-0.673776112163575,-0.892989533926604,-0.7724089556878867,-0.7825822337943251,0.07048423146040934,414
478,0.04039111137390137,0.0002770654747514986,0.003076028823852539,4.4917301001478805e-05,0.6,0.5,6,200,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",-0.7747239617994403,-0.8183162787985787,-0.6366604110665542,-0.8939990374948744,-0.7188004879381236,-0.7685000354195142,0.0873179551470152,342
479,0.03677000999450684,0.0003476037768225454,0.0030515193939208984,4.701309697181229e-05,0.6,0.5,6,200,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",-0.7759719113178316,-0.7914564539075871,-0.6460006154458923,-0.8942470403441357,-0.7124391264404563,-0.7640230294911806,0.08299861544118978,306
480,0.011587572097778321,0.00026886489275667366,0.002588319778442383,0.0001036933246180754,0.6,0.5,9,25,0.4,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 9, 'n_estimators': 25, 'subsample': 0.4}",-0.7955009666793508,-0.8468942472486565,-0.6921527461445124,-0.8809327493167335,-0.7498586169247337,-0.7930678652627974,0.0673414250496685,454
481,0.011850357055664062,0.00015804882519578019,0.0025199413299560546,7.968355541708634e-05,0.6,0.5,9,25,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 9, 'n_estimators': 25, 'subsample': 0.6}",-0.7658420377527477,-0.8056581289904541,-0.660555876392794,-0.8311401504871199,-0.7155442670799267,-0.7557480921406083,0.06157071944777957,256
482,0.01209573745727539,0.0002373027630961453,0.002542448043823242,6.481643124041982e-05,0.6,0.5,9,25,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.5, 'max_depth': 9, 'n_estimators': 25, 'subsample': 0.8}",-0.7721322476630366,-0.795774868980976,-0.6418095002824799,-0.8368427403549099,-0.7048758876963256,-0.7502870489955455,0.06909094633001626,219
