,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
69,0.054347896575927736,0.0007803521693473495,0.0026053905487060545,0.00011190194741734576,10.0,1,5,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",-0.6787271614758568,-0.6753566832177595,-0.7930087356913451,-0.7247243639319116,-0.7742010543851363,-0.7292035997404017,0.048090105199556775,70
70,0.11486515998840333,0.005933616922123676,0.004949426651000977,0.0008091527645773035,10.0,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-0.6816766400381615,-0.6786635647680087,-0.782948573434337,-0.719521325775631,-0.7819304939768753,-0.7289481195986027,0.04598950898922437,69
71,0.21878623962402344,0.009731359440226411,0.007370138168334961,0.0012277658540773505,10.0,1,5,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-0.6851052556101269,-0.6719213231563711,-0.7942574260560982,-0.7105299385744945,-0.7816675536240787,-0.7286962994042339,0.05011548422251677,68
72,0.026496028900146483,0.00027041580285235093,0.0017316341400146484,2.0252953130336096e-05,10.0,1,10,25,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 25}",-0.7000441909466283,-0.7363314802671277,-0.838725703111553,-0.7499233916930906,-0.8127058986466713,-0.7675461329330142,0.05088686151043034,142
73,0.05226883888244629,0.0007256721127971492,0.0025275230407714845,0.00010293581268040022,10.0,1,10,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",-0.6921004120884399,-0.7073911386023279,-0.8170944338331632,-0.7481474107377731,-0.8008891418921908,-0.7531245074307791,0.04942441606615156,99
74,0.10358390808105469,0.0008519697237236014,0.00405731201171875,0.00021754519417741227,10.0,1,10,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-0.6973487485215999,-0.7157811946143335,-0.8205965375739765,-0.7337465013716904,-0.8144851532523661,-0.7563916270667933,0.051274162629017184,108
75,0.2031088352203369,0.002352578603198426,0.006778097152709961,0.0004170934336329198,10.0,1,10,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-0.7003014382121703,-0.7208504962860774,-0.8294113611493414,-0.7381063787133817,-0.8108429068477936,-0.759902516241753,0.050948647266724836,113
76,0.028217458724975587,0.0012317577006938742,0.002239036560058594,0.0002043950339361034,10.0,1,20,25,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 25}",-0.7330984403543285,-0.7327163340430212,-0.8601221157063726,-0.7906454234203736,-0.8420101649359811,-0.7917184956920154,0.05315453824004252,212
77,0.04974522590637207,0.0005931295662979097,0.0023799419403076174,3.3756029566037986e-05,10.0,1,20,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 50}",-0.7333092676439606,-0.7355769632716577,-0.86917813044147,-0.7845038408689279,-0.8462489248514984,-0.7937634254155028,0.05580002663056413,217
78,0.09858613014221192,0.0008644894531570582,0.004008340835571289,0.00022558391370680885,10.0,1,20,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 100}",-0.7293158224877077,-0.7487786789408871,-0.8469418193886018,-0.7799525961718554,-0.8390167624040177,-0.788801135878614,0.047160458966884575,204
79,0.1950085163116455,0.0014005620879217475,0.006406545639038086,3.352134699024568e-05,10.0,1,20,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 200}",-0.7323554739579899,-0.7386698301189605,-0.8612422622123835,-0.7808692702208146,-0.8450745134249419,-0.7916422699870181,0.05317184339385963,211
80,0.02806510925292969,0.0017836502667370438,0.0018910408020019532,0.00026450697437914575,10.0,2,2,25,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 25}",-0.6887127823046907,-0.7071546283399026,-0.8361766026745994,-0.7348989532346046,-0.7929677983793291,-0.7519821529866253,0.054905162658397205,96
81,0.06073384284973145,0.00027206935973969333,0.003467369079589844,2.7514123827004095e-05,10.0,2,2,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",-0.6828143739878915,-0.7020723109097718,-0.8449135456886209,-0.7162327558967228,-0.786796708826507,-0.7465659390619028,0.06042319680638328,93
82,0.11208624839782715,0.006302997945118531,0.0045645713806152345,0.0007894751266923778,10.0,2,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-0.6904348229552303,-0.6923620936696279,-0.8333002934179492,-0.7210731305723977,-0.794039637420468,-0.7462419956071347,0.057471241329840446,91
83,0.21303749084472656,0.000985409513401788,0.0067692756652832035,6.433036945663925e-05,10.0,2,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-0.6824227996176695,-0.6940330503860608,-0.8293283135758877,-0.7190265945196922,-0.7862758961802918,-0.7422173308559203,0.05650557776201753,85
84,0.02837848663330078,0.0023439534395571864,0.0017985820770263672,5.1880101946760636e-05,10.0,2,5,25,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",-0.6837807955009305,-0.7035874778095051,-0.8385890976742685,-0.7255202310956433,-0.7824673592087545,-0.7467889922578204,0.05654903913120569,94
85,0.05326838493347168,0.0006804935951034038,0.0025238037109375,3.4863155687664354e-05,10.0,2,5,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",-0.6912774583071702,-0.6906285589475079,-0.8285593596746789,-0.7301911621518231,-0.791480849463007,-0.7464274777088373,0.05512551906236346,92
86,0.11389942169189453,0.006367564906188375,0.005016231536865234,0.0007932020457389154,10.0,2,5,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-0.6890941131121325,-0.70025075133044,-0.8340688934980297,-0.7235346860911039,-0.7813693886114271,-0.7456635665286266,0.05448398252818784,90
87,0.21695632934570314,0.010350511555656887,0.0077015399932861325,0.001081870256451528,10.0,2,5,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-0.6852129829994373,-0.6963584058300043,-0.8379545766181009,-0.7236149373001857,-0.7849725906566821,-0.7456226986808819,0.057678827210199624,89
