Temperature,MgCl2_concentration,pH_f,Incubation_time,DNase_I_concentration,Rectangles,Rods,Spheres,Diffusion_Coefficient
4,10.0,7.4,1440,0.0,0.0,1.0,0.0,2.22
4,1.0,7.4,1440,0.0,0.0,1.0,0.0,2.26
4,1.0,7.4,1440,0.0,0.0,1.0,0.0,2.33
4,1.0,7.4,1440,0.0,0.0,1.0,0.0,2.25
4,10.0,7.4,1440,0.0,0.0,1.0,0.0,0.234
4,10.0,7.4,1440,0.0,0.0,1.0,0.0,0.481
4,10.0,7.4,1440,0.0,0.0,1.0,0.0,0.152
4,20.0,7.4,1440,0.0,0.0,1.0,0.0,2.43
4,20.0,7.4,1440,0.0,0.0,1.0,0.0,2.18
4,20.0,7.4,1440,0.0,0.0,1.0,0.0,2.15
4,10.0,7.4,1440,0.0,0.0,1.0,0.0,2.3
4,10.0,7.4,1440,0.0,0.0,1.0,0.0,2.25
4,10.0,7.4,1440,0.0,0.0,1.0,0.0,2.19
4,50.0,7.4,1440,0.0,0.0,1.0,0.0,2.52
4,50.0,7.4,1440,0.0,0.0,1.0,0.0,2.42
4,50.0,7.4,1440,0.0,0.0,1.0,0.0,2.13
4,40.0,7.4,1440,0.0,0.0,1.0,0.0,3.16
4,40.0,7.4,1440,0.0,0.0,1.0,0.0,3.65
4,40.0,7.4,1440,0.0,0.0,1.0,0.0,3.45
4,30.0,7.4,1440,0.0,0.0,1.0,0.0,2.79
4,30.0,7.4,1440,0.0,0.0,1.0,0.0,2.78
4,30.0,7.4,1440,0.0,0.0,1.0,0.0,2.81
4,20.0,7.4,1440,0.0,0.0,1.0,0.0,2.49
4,20.0,7.4,1440,0.0,0.0,1.0,0.0,2.45
4,20.0,7.4,1440,0.0,0.0,1.0,0.0,2.33
4,15.0,7.4,1440,0.0,0.0,1.0,0.0,2.98
4,15.0,7.4,1440,0.0,0.0,1.0,0.0,2.98
4,15.0,7.4,1440,0.0,0.0,1.0,0.0,2.9
4,10.0,7.4,1440,0.0,0.0,1.0,0.0,3.09
4,10.0,7.4,1440,0.0,0.0,1.0,0.0,2.91
4,10.0,7.4,1440,0.0,0.0,1.0,0.0,3.14
4,5.0,7.4,1440,0.0,0.0,1.0,0.0,2.63
4,5.0,7.4,1440,0.0,0.0,1.0,0.0,2.61
4,5.0,7.4,1440,0.0,0.0,1.0,0.0,2.46
37,10.0,7.4,15,0.0,0.0,1.0,0.0,2.64
37,10.0,7.4,15,0.0,0.0,1.0,0.0,2.69
